game_id,home_team,win
4104,HOU,1
4105,OAK,1
4106,DAL,0
4107,DEN,1
4108,CAR,1
4109,CIN,1
4110,CAR,1
4111,NE,1
4112,NO,0
4113,BUF,1
4114,MIN,1
4115,NYJ,1
4116,PIT,1
4117,TB,0
4118,SF,1
4119,IND,1
4120,DAL,0
4121,SD,0
4122,NYJ,0
4123,GB,0
4124,TB,1
4125,TEN,0
4126,STL,0
4127,WAS,1
4128,PHI,0
4129,PIT,1
4130,BAL,0
4131,OAK,0
4132,NYG,0
4133,DEN,0
4134,SEA,0
4135,CIN,0
4136,JAC,1
4137,DET,1
4138,ATL,0
4139,HOU,1
4140,PHI,0
4141,CHI,0
4142,MIN,0
4143,BAL,1
4144,MIA,0
4145,CAR,1
4146,SEA,1
4147,SD,0
4148,ARI,1
4149,NE,1
4150,DET,1
4151,DAL,0
4152,GB,0
4153,HOU,1
4154,CIN,1
4155,ATL,0
4156,WAS,1
4157,IND,1
4158,KC,1
4159,TEN,0
4160,JAC,0
4161,NYJ,1
4162,SF,0
4163,SEA,1
4164,DEN,1
4165,CLE,0
4166,DET,0
4167,NYG,0
4168,STL,0
4169,TB,1
4170,NO,0
4171,MIN,0
4172,BUF,1
4173,MIA,1
4174,CLE,0
4175,TEN,1
4176,CHI,0
4177,SD,0
4178,OAK,0
4179,NE,0
4180,PIT,1
4181,WAS,0
4182,ARI,1
4183,PHI,1
4184,CLE,1
4185,STL,1
4186,TB,0
4187,NYJ,1
4188,CIN,0
4189,BAL,0
4190,JAC,1
4191,KC,1
4192,CHI,0
4193,CAR,1
4194,DEN,0
4195,GB,1
4196,HOU,0
4197,MIA,0
4198,STL,1
4199,DAL,0
4200,MIN,1
4201,JAC,0
4202,IND,0
4203,NYG,0
4204,NE,1
4205,WAS,1
4206,BAL,0
4207,SEA,1
4208,OAK,0
4209,PIT,1
4210,SD,1
4211,SF,0
4212,PHI,0
4213,NO,0
4214,OAK,1
4215,PHI,0
4216,NYJ,1
4217,TEN,0
4218,KC,1
4219,MIA,0
4220,BAL,1
4221,NO,1
4222,DET,1
4223,BUF,1
4224,TB,0
4225,ATL,1
4226,SEA,0
4227,ARI,1
4228,MIN,1
4229,DEN,1
4230,BUF,1
4231,MIA,1
4232,ATL,0
4233,CIN,1
4234,CLE,0
4235,HOU,1
4236,IND,1
4237,DAL,0
4238,NYG,0
4239,CHI,0
4240,KC,1
4241,DEN,1
4242,ARI,0
4243,SF,1
4244,CAR,1
4245,GB,0
4246,HOU,0
4247,CIN,0
4248,MIN,0
4249,WAS,0
4250,NE,1
4251,ARI,1
4252,CAR,1
4253,DEN,1
4254,DEN,1
4255,CAR,1
4256,DEN,1
