game_id,team,average_starting_field_position,season
3767,KC,29.4615,2014
3767,MIA,32.3571,2014
3768,DEN,23.7857,2014
3768,SEA,28.4667,2014
3769,CAR,22.2222,2014
3769,PIT,23.7000,2014
3770,CHI,22.5833,2014
3770,NYJ,30.6364,2014
3771,NYG,40.3077,2014
3771,WAS,15.4615,2014
3772,CHI,19.6250,2014
3772,GB,43.5714,2014
3773,IND,32.2857,2014
3773,TEN,23.0000,2014
3774,MIA,40.6667,2014
3774,OAK,24.3077,2014
3775,DET,29.5833,2014
3775,NYJ,21.8333,2014
3776,PIT,24.3636,2014
3776,TB,33.9000,2014
3777,BAL,27.5000,2014
3777,CAR,19.2500,2014
3778,BUF,27.1333,2014
3778,HOU,29.2857,2014
3779,JAC,21.5455,2014
3779,SD,39.8000,2014
3780,ATL,25.2727,2014
3780,MIN,29.8182,2014
3781,PHI,19.3636,2014
3781,SF,30.4000,2014
3782,DAL,30.8182,2014
3782,NO,23.5455,2014
3783,KC,34.7273,2014
3783,NE,15.9091,2014
3784,GB,33.3846,2014
3784,MIN,21.2857,2014
3785,DAL,24.3636,2014
3785,HOU,25.6667,2014
3786,BUF,25.7143,2014
3786,DET,27.9286,2014
3787,CLE,25.9091,2014
3787,TEN,20.0000,2014
3788,BAL,24.4167,2014
3788,IND,36.3333,2014
3789,NO,25.9231,2014
3789,TB,24.8182,2014
3790,ATL,27.3636,2014
3790,NYG,29.8000,2014
3791,PHI,29.5833,2014
3791,STL,25.3571,2014
3792,CAR,32.6923,2014
3792,CHI,29.2857,2014
3793,JAC,21.8000,2014
3793,PIT,23.3000,2014
3794,ARI,29.0000,2014
3794,DEN,28.4375,2014
3795,NYJ,20.3333,2014
3795,SD,31.6667,2014
3796,KC,26.2222,2014
3796,SF,25.3333,2014
3797,CIN,25.1667,2014
3797,NE,32.5833,2014
3798,SEA,34.9167,2014
3798,WAS,16.7500,2014
3799,HOU,22.8182,2014
3799,IND,33.1538,2014
3800,ATL,22.6364,2014
3800,CHI,26.4545,2014
3801,BUF,22.8333,2014
3801,NE,35.1538,2014
3802,CAR,32.0000,2014
3802,CIN,33.0909,2014
3803,CLE,29.0000,2014
3803,PIT,24.8462,2014
3804,JAC,19.1818,2014
3804,TEN,34.4545,2014
3805,GB,27.7273,2014
3805,MIA,30.6364,2014
3806,DET,35.6923,2014
3806,MIN,26.7143,2014
3807,DEN,23.0833,2014
3807,NYJ,28.8462,2014
3808,BAL,38.4615,2014
3808,TB,21.8333,2014
3809,OAK,30.8000,2014
3809,SD,20.8000,2014
3810,ARI,35.1667,2014
