Team,Year,ResponsiveRev,TicketRevFB,ContribsFB,ConcessFB,SponsFB,CampsFB
Ohio State,2012,45482902,41046031,170068,3392030,330000,544773
Ohio State,2013,51406470,46317719,425443,4088537,0,574771
Ohio State,2014,80492555,47091663,28201658,4283346,375000,540888
Oklahoma,2010,45638026,30828860,14096225,712941,0,0
Oklahoma,2011,47450103,31937164,14258933,993190,260816,0
Oklahoma,2012,47629217,32516003,13811227,1051863,250124,0
Oklahoma,2013,49877161,34336282,13961883,1246730,332266,0
Oklahoma,2014,68583981,33426977,33363102,1433321,360581,0
Oklahoma State,2010,23677767,18044332,5223721,409714,0,0
Oklahoma State,2011,23518495,17481668,5655271,381556,0,0
Oklahoma State,2012,25289531,18575105,6365498,348928,0,0
Oklahoma State,2013,23870744,18705453,4779178,386113,0,0
Oklahoma State,2014,55865368,18541629,37027350,296389,0,0
Old Dominion,2014,7360882,2535254,4638049,94670,91949,960
Oregon,2010,15405992,15192429,1200,43777,0,168586
Oregon,2011,16775791,14290860,2100000,1595,0,383336
Oregon,2012,35997093,19431447,14484661,1843075,24353,213557
Oregon,2013,43831556,21604651,19887328,2085553,5712,248312
Oregon,2014,151379853,22971573,124927474,3228774,294,251738
Oregon State,2010,8701829,7298856,809445,334765,0,258763
Oregon State,2011,10683703,7912635,2138767,369062,6774,256465
Oregon State,2012,9160696,7110799,1501097,384961,0,163839
Oregon State,2013,11018750,8817750,1467348,505399,0,228253
Oregon State,2014,19408744,8079469,10670196,434329,0,224750
Penn State,2013,38103686,31754019,2225714,4123953,0,0
Purdue,2010,14853729,11587476,2299895,745958,220400,0
Purdue,2011,13843734,10239049,3181307,423378,0,0
Purdue,2012,13898929,10263918,3205040,406615,23356,0
Purdue,2013,14802145,8927527,5169526,685702,19390,0
Purdue,2014,25379833,9628594,15281636,469603,0,0
Rutgers,2010,17384712,10633894,4810172,1016277,924369,0
Rutgers,2011,12744923,7695176,3310659,991510,747578,0
