Survey Year,Institution Name,Classification Name,Football Total Revenue,Not Allocated by Gender/Sport Revenue,Grand Total Revenue
2005,Texas A & M University,NCAA Division I-A,36086026,21821140,70923550
2005,Texas Christian University,NCAA Division I-A,12155447,8847891,37111422
2005,Texas State University-San Marcos,NCAA Division I-AA,1092362,9309772,10848619
2005,Texas Tech University,NCAA Division I-A,18710471,21979974,53337766
2005,The University of Alabama,NCAA Division I-A,44426312,15262167,68644285
2005,The University of Tennessee,NCAA Division I-A,27732427,30528907,69922919
2005,The University of Texas at Austin,NCAA Division I-A,60880069,13612409,97756777
2005,The University of Texas at El Paso,NCAA Division I-A,7711299,4140495,20575450
2005,The University of Texas at San Antonio,NCAA Division I-AAA,,3206475,8381787
2005,Troy University,NCAA Division I-A,3452351,4176493,12030129
2005,Tulane University of Louisiana,NCAA Division I-A,3036695,9378921,17578170
2005,University of Akron Main Campus,NCAA Division I-A,740749,13042288,14465119
2005,University of Alabama at Birmingham,NCAA Division I-A,4469854,6514083,18701620
2005,University of Arizona,NCAA Division I-A,15391671,7099762,40268509
2005,University of Arkansas Main Campus,NCAA Division I-A,28466785,3580347,47886806
2005,University of California-Berkeley,NCAA Division I-A,18053243,19171623,52740344
2005,University of California-Los Angeles,NCAA Division I-A,19601767,21941324,52066786
2005,University of Central Florida,NCAA Division I-A,7878139,29012032,44802676
2005,University of Cincinnati-Main Campus,NCAA Division I-A,4856257,19179216,28868029
2005,University of Colorado at Boulder,NCAA Division I-A,23577859,17729517,46871796
2005,University of Connecticut,NCAA Division I-A,12394947,23600392,49926982
2005,University of Florida,NCAA Division I-A,48194552,23849927,82389813
2005,University of Georgia,NCAA Division I-A,58661538,10709456,79237929
2005,University of Hawaii at Manoa,NCAA Division I-A,5412764,13357684,23764711
2005,University of Houston,NCAA Division I-A,2461588,21884311,25955498
2005,University of Idaho,NCAA Division I-A,2456546,6829822,10894461
2005,University of Illinois at Urbana-Champaign,NCAA Division I-A,19066406,11950857,49188554
2005,University of Iowa,NCAA Division I-A,31810059,21066792,66823699
2005,University of Kansas Main Campus,NCAA Division I-A,11603739,38825865,62985486
2005,University of Kentucky,NCAA Division I-A,19793174,23672786,57137603
