team,year,srs,lagged_srs,stateunemp,stadium_cap,num_homegames,coach_experience,conf_coy,nat_coy,new_coach
southernmiss,2012,-18.04,9.18,9,36000,6,0,0,0,1
southernmiss,2013,-21.13,-18.04,8.533333333,"36,000",5,0,0,0,1
southernmiss,2014,-10.91,-21.13,7.5,"36,000",6,1,0,0,0
tamu,2010,11.39,3.37,8.133333333,83002,7,2,0,0,0
tamu,2011,13.36,11.39,7.758333333,83002,7,3,0,0,0
tamu,2012,20.05,13.36,6.741666667,82600,6,4,1,0,1
tamu,2013,13.38,20.05,6.25,"82,589",8,5,1,0,0
tamu,2014,9.96,13.38,5.108333333,"106,300",6,6,1,0,0
texas,2010,1.71,20.21,8.133333333,100119,7,25,1,1,0
texas,2011,12.16,1.71,7.758333333,100119,6,26,1,1,0
texas,2012,11.18,12.16,6.741666667,100119,6,27,1,1,0
texas,2013,7.45,11.18,6.25,"100,119",6,28,1,1,0
texas,2014,3.98,7.45,5.108333333,"100,119",6,4,1,0,1
texastech,2010,3.06,10.79,8.133333333,53774,6,14,1,1,1
texastech,2011,1.88,3.06,7.758333333,53774,6,15,1,1,0
texastech,2012,6.33,1.88,6.741666667,60454,6,16,1,1,0
texastech,2013,5.32,6.33,6.25,"60,454",6,0,0,0,1
texastech,2014,-3.56,5.32,5.108333333,"60,454",6,1,0,0,0
toledo,2010,-3.7,-11.29,10.24166667,26248,6,1,0,0,0
toledo,2011,6.84,-3.7,8.85,26248,6,2,0,0,0
toledo,2012,-0.18,6.84,7.408333333,26248,6,0,0,0,1
toledo,2013,-0.03,-0.18,7.425,"26,248",6,1,0,0,0
toledo,2014,-1.79,-0.03,5.8,"26,244",6,2,0,0,0
troy,2010,-4.1,2.73,10.54166667,30000,5,9,1,0,0
troy,2011,-15.54,-4.1,9.616666667,30000,5,10,1,0,0
troy,2012,-3.45,-15.54,7.983333333,30000,6,11,1,0,0
troy,2013,-5.33,-3.45,7.216666667,"30,000",5,12,1,0,0
troy,2014,-14.67,-5.33,6.766666667,"30,000",6,13,1,0,0
ucla,2010,0.62,3.8,12.225,91136,6,10,0,0,0
ucla,2011,-1.05,0.62,11.70833333,91136,6,11,0,0,0
ucla,2012,8.75,-1.05,10.375,91136,7,0,0,0,1
ucla,2013,17.1,8.75,8.941666667,"91,136",6,1,0,0,0
ucla,2014,14.4,17.1,7.5,"91,136",6,2,0,0,0
uga,2010,6.35,9.06,10.49166667,92746,6,9,1,0,0
uga,2011,10.67,6.35,10.23333333,92746,7,10,1,0,0
uga,2012,17.93,10.67,9.191666667,92746,7,11,1,0,0
uga,2013,12.82,17.93,8.2,"92,746",6,12,1,0,0
uga,2014,18.84,12.82,7.1,"92,746",7,13,1,0,0
unlv,2010,-11.86,-5.61,13.5,36800,6,0,0,0,1
unlv,2011,-17.72,-11.86,13.01666667,36800,5,1,0,0,0
unlv,2012,-14.57,-17.72,11.19166667,36800,7,2,0,0,0
unlv,2013,-3.9,-14.57,9.625,"36,800",7,3,0,0,0
unlv,2014,-16.18,-3.9,7.916666667,"36,800",6,4,0,0,0
usf,2010,2.15,3.64,11.03333333,41441,7,5,0,0,1
usf,2011,3.21,2.15,9.991666667,65857,7,6,0,0,0
usf,2012,-6.13,3.21,8.483333333,41441,6,7,0,0,0
usf,2013,-13.56,-6.13,7.233333333,"65,857",7,3,0,0,1
usf,2014,-10.9,-13.56,6.266666667,"65,857",7,4,0,0,0
utah,2010,8.3,7.28,7.833333333,45017,6,6,1,1,0
utah,2011,3.16,8.3,6.75,45017,6,7,1,1,0
utah,2012,2.51,3.16,5.4,45634,6,8,1,1,0
utah,2013,6.96,2.51,4.591666667,"45,634",7,9,1,1,0
utah,2014,9.84,6.96,3.825,"45,634",6,10,1,1,0
utep,2010,-8.13,-7.21,8.133333333,51500,6,20,1,1,0
utep,2011,-7.93,-8.13,7.758333333,51500,6,21,1,1,0
utep,2012,-9.29,-7.93,6.741666667,52000,6,22,1,1,0
utep,2013,-18.17,-9.29,6.25,"52,000",5,0,0,0,1
utep,2014,-3.18,-18.17,5.108333333,"52,000",6,1,0,0,0
virginia,2010,-3.29,-3,7.125,61500,7,0,0,0,1
virginia,2011,0.14,-3.29,6.591666667,61500,7,1,1,0,0
virginia,2012,-3.84,0.14,6.058333333,61500,7,2,1,0,0
virginia,2013,-4.94,-3.84,5.7,"61,500",8,3,1,0,0
virginia,2014,4.83,-4.94,5.233333333,"61,500",7,4,1,0,0
virginiatech,2010,14.03,18.57,7.125,66233,8,22,1,1,0
virginiatech,2011,8.21,14.03,6.591666667,66233,6,23,1,1,0
virginiatech,2012,3.13,8.21,6.058333333,65115,6,24,1,1,0
virginiatech,2013,6.41,3.13,5.7,"65,632",6,25,1,1,0
virginiatech,2014,6.71,6.41,5.233333333,"65,632",7,26,1,1,0
washington,2010,5.55,3.61,9.991666667,72500,6,0,0,0,1
washington,2011,1.8,5.55,9.275,72500,7,1,0,0,0
washington,2012,4.9,1.8,8.108333333,72500,6,2,0,0,0
washington,2013,15.12,4.9,7.033333333,"70,000",7,3,0,0,0
washington,2014,6.52,15.12,6.125,"70,138",7,8,1,1,1
washingtonstate,2010,-4.2,-14.87,9.991666667,37600,6,2,0,0,0
washingtonstate,2011,-5.61,-4.2,9.275,35117,6,3,0,0,0
washingtonstate,2012,-6.89,-5.61,8.108333333,37600,6,10,1,0,1
