Program,Year,ResponsiveRev,TwoStars,ThreeStars,FourStars,FiveStars,srs,lagged_srs,stateunemp,stadium_cap,stadium_years_open,stadium_years_rennovation,num_homegames,coach_experience,conf_coy,nat_coy,coach_years_at_school,new_coach,pop/d1prog,hs_grad_pct,pro_team_per_million,spring_practice,num_jcs,power
Kansas,2010,9686177,17,61,9,0,-8.61,0.88,7.06,50250,89,4,7,4,1,0,0,1,1429201.5,90,0,0,8,1
Kansas,2011,9350631,12,69,10,0,-4.75,-8.61,6.49,50250,90,5,6,5,1,0,1,0,1434378,91.1,0,0,8,1
Kansas,2012,6627550,18,66,8,0,-6.7,-4.75,5.73,50250,91,6,6,5,0,1,0,1,1442658,91.05,0,0,8,1
Kansas,2013,5582357,18,67,6,0,-8.58,-6.7,5.31,50250,92,7,7,6,0,1,1,0,1446450,90.89,0,0,8,1
Kansas,2014,34269514,22,68,5,0,-6.86,-8.58,4.53,50250,93,0,6,7,0,1,2,0,1449776.5,91.05,0,0,8,1
Kent State,2010,488508,80,14,2,0,-8.82,-10.69,10.24,25000,41,2,6,6,0,0,7,0,1442410.25,91.98,0.519963027,0,1,0
Kent State,2011,620577,73,13,2,0,-6.03,-8.82,8.85,25000,42,3,6,0,0,0,0,1,1442916.5,90.7,0.519780597,0,1,0
Kent State,2012,454222,71,16,1,0,2.75,-6.03,7.41,25000,43,4,5,1,0,0,1,0,1443371.125,91.01,0.51961688,0,1,0
Kent State,2013,1033720,73,13,0,0,-9.6,2.75,7.43,25000,44,5,5,0,0,0,0,1,1445980.625,90.96,0.518679149,0,1,0
Kent State,2014,1210295,74,8,0,0,-13.04,-9.6,5.8,25000,45,6,6,1,0,0,1,0,1449217.625,91.02,0.517520617,0,1,0
Kentucky,2010,16877206,48,50,6,0,1.88,6.03,10.17,67606,37,11,7,0,0,0,0,1,2173974,90.51,0,1,0,1
Kentucky,2011,18336831,32,62,6,0,-1.63,1.88,9.38,67606,38,12,7,1,0,0,1,0,2184252.5,86.8,0,1,0,1
Kentucky,2012,17733703,25,75,6,0,-5.29,-1.63,8.17,67606,39,13,7,2,0,0,2,0,2191836.5,87.33,0,1,0,1
Kentucky,2013,14570046,18,77,6,0,-3.51,-5.29,8.02,67606,40,14,7,0,0,0,0,1,2199560.5,87.11,0,1,0,1
Kentucky,2014,37208774,11,76,15,0,1.55,-3.51,6.46,67606,41,15,7,1,0,0,1,0,2205207.5,87.31,0,1,0,1
Louisiana Tech,2010,1343992,61,27,0,0,-3.7,-2.97,7.95,30600,42,2,7,0,0,0,0,1,908974.2,87,0.440056494,1,0,0
Louisiana Tech,2011,1647757,53,38,0,0,2.04,-3.7,7.83,30600,43,3,5,1,1,0,1,0,914877.6,84.8,0.437216957,1,0,0
Louisiana Tech,2012,1598378,47,43,0,0,6.33,2.04,7.09,30600,44,4,6,2,1,0,2,0,920536.2,85.22,0.434529354,1,0,0
Louisiana Tech,2013,2736585,44,41,0,0,-15.66,6.33,6.68,30600,45,5,5,8,0,0,0,1,925359,84.92,0.432264667,1,0,0
Louisiana Tech,2014,4797749,55,35,0,0,5.46,-15.66,6.38,27717,46,6,5,9,0,0,1,0,929759.4,85.18,0.430218829,1,0,0
Louisville,2010,10882533,45,47,7,1,2.71,-4.01,10.17,42000,12,12,7,0,1,0,0,1,2173974,90.51,0,1,0,1
Louisville,2011,19526387,42,52,9,0,2.38,2.71,9.38,55000,13,13,6,1,1,0,1,0,2184252.5,86.8,0,1,0,1
Louisville,2012,17009600,31,57,11,0,5.88,2.38,8.17,42000,14,14,7,2,1,0,2,0,2191836.5,87.33,0,1,0,1
Louisville,2013,20469112,13,63,12,0,9.99,5.88,8.02,55000,15,15,7,3,1,0,3,0,2199560.5,87.11,0,1,0,1
Louisville,2014,44244928,10,67,9,0,10.52,9.99,6.46,55000,16,16,6,9,1,0,0,1,2205207.5,87.31,0,1,0,1
LSU,2010,54345722,0,40,56,9,15.13,12.7,7.95,92400,86,4,7,9,0,0,5,0,908974.2,87,0.440056494,1,0,1
LSU,2011,53991160,1,44,47,10,24.27,15.13,7.83,92400,87,0,6,10,1,1,6,0,914877.6,84.8,0.437216957,1,0,1
LSU,2012,50408363,3,43,45,8,14.76,24.27,7.09,92400,88,1,8,11,1,1,7,0,920536.2,85.22,0.434529354,1,0,1
LSU,2013,57726521,3,43,49,6,14.59,14.76,6.68,92400,89,2,7,12,1,1,8,0,925359,84.92,0.432264667,1,0,1
LSU,2014,83798058,4,37,49,7,10.75,14.59,6.38,102321,90,3,7,13,1,1,9,0,929759.4,85.18,0.430218829,1,0,1
Marshall,2010,3528876,65,32,1,0,-9.73,-3.35,8.63,38019,19,10,6,0,0,0,0,1,927157.5,90.66,0,0,0,0
Marshall,2011,4738758,54,41,1,0,-4.59,-9.73,8.06,38019,20,11,5,1,0,0,1,0,927445.5,87.7,0,0,0,0
Marshall,2012,4311967,49,43,2,0,-6.04,-4.59,7.49,38019,21,12,6,2,0,0,2,0,927680,87.87,0,0,0,0
Marshall,2013,3779981,43,43,5,0,3.07,-6.04,6.79,38019,22,0,6,3,0,0,3,0,926166.5,87.45,0,0,0,0
Marshall,2014,6688545,42,46,4,0,12.55,3.07,6.64,38019,23,1,7,4,0,0,4,0,923812,88.49,0,0,0,0
Maryland,2010,6741759,18,52,19,1,7.02,-6.6,7.65,51500,60,2,7,9,1,1,9,0,2894049.5,90.57,1.036609775,0,0,1
Maryland,2011,4636593,14,54,17,0,-8.22,7.02,7.25,51500,61,3,8,12,1,0,0,1,2921557.5,90.9,1.026849549,0,0,1
Maryland,2012,7411225,18,61,13,1,-6.59,-8.22,6.97,51500,62,4,6,13,1,0,1,0,2945840,90.81,1.018385248,0,0,1
